Date,Close,Open,High,Low,Volume
2020-12-02,2456.331298828125,2431.7679858398437,2456.331298828125,2431.7679858398437,1000000
2020-12-03,2420.508056640625,2456.331298828125,2456.331298828125,2420.508056640625,1000000
2020-12-04,2436.677734375,2420.508056640625,2436.677734375,2420.508056640625,1000000
2020-12-07,2445.74462890625,2436.677734375,2445.74462890625,2436.677734375,1000000
2020-12-08,2498.9892578125,2445.74462890625,2498.9892578125,2445.74462890625,1000000
2020-12-09,2511.04931640625,2498.9892578125,2511.04931640625,2498.9892578125,1000000
2020-12-10,2487.37548828125,2511.04931640625,2511.04931640625,2487.37548828125,1000000
2020-12-11,2486.75,2487.37548828125,2487.37548828125,2486.75,1000000
2020-12-14,2499.3466796875,2486.75,2499.3466796875,2486.75,1000000
2020-12-15,2467.0517578125,2499.3466796875,2499.3466796875,2467.0517578125,1000000
2020-12-16,2514.08642578125,2467.0517578125,2514.08642578125,2467.0517578125,1000000
2020-12-17,2535.52783203125,2514.08642578125,2535.52783203125,2514.08642578125,1000000
2020-12-18,2555.89599609375,2535.52783203125,2555.89599609375,2535.52783203125,1000000
2020-12-21,2519.40234375,2555.89599609375,2555.89599609375,2519.40234375,1000000
2020-12-22,2566.169677734375,2519.40234375,2566.169677734375,2519.40234375,1000000
2020-12-23,2598.55419921875,2566.169677734375,2598.55419921875,2566.169677734375,1000000
2020-12-24,2599.090087890625,2598.55419921875,2599.090087890625,2598.55419921875,1000000
2020-12-28,2617.001708984375,2599.090087890625,2617.001708984375,2599.090087890625,1000000
2020-12-29,2617.984375,2617.001708984375,2617.984375,2617.001708984375,1000000
2020-12-30,2599.04541015625,2617.984375,2617.984375,2599.04541015625,1000000
2020-12-31,2557.45947265625,2599.04541015625,2599.04541015625,2557.45947265625,1000000
2021-01-01,2615.973876953125,2557.45947265625,2615.973876953125,2557.45947265625,1000000
2021-01-04,2715.316162109375,2615.973876953125,2715.316162109375,2615.973876953125,1000000
2021-01-05,2763.155029296875,2715.316162109375,2763.155029296875,2715.316162109375,1000000
2021-01-06,2726.080322265625,2763.155029296875,2763.155029296875,2726.080322265625,1000000
2021-01-07,2709.374755859375,2726.080322265625,2726.080322265625,2709.374755859375,1000000
2021-01-08,2788.080078125,2709.374755859375,2788.080078125,2709.374755859375,1000000
2021-01-11,2837.706298828125,2788.080078125,2837.706298828125,2788.080078125,1000000
2021-01-12,2836.2763671875,2837.706298828125,2837.706298828125,2836.2763671875,1000000
2021-01-13,2822.071533203125,2836.2763671875,2836.2763671875,2822.071533203125,1000000
2021-01-14,2909.5634765625,2822.071533203125,2909.5634765625,2822.071533203125,1000000
2021-01-15,2894.03466796875,2909.5634765625,2909.5634765625,2894.03466796875,1000000
2021-01-18,2883.65283203125,2894.03466796875,2894.03466796875,2883.65283203125,1000000
2021-01-19,2918.5146484375,2883.65283203125,2918.5146484375,2883.65283203125,1000000
2021-01-20,2961.566650390625,2918.5146484375,2961.566650390625,2918.5146484375,1000000
2021-01-21,2930.284423828125,2961.566650390625,2961.566650390625,2930.284423828125,1000000
2021-01-22,2956.465087890625,2930.284423828125,2956.465087890625,2930.284423828125,1000000
2021-01-25,2945.903564453125,2956.465087890625,2956.465087890625,2945.903564453125,1000000
2021-01-27,2918.827880859375,2945.903564453125,2945.903564453125,2918.827880859375,1000000
2021-01-28,2861.0966796875,2918.827880859375,2918.827880859375,2861.0966796875,1000000
2021-01-29,2784.837646484375,2861.0966796875,2861.0966796875,2784.837646484375,1000000
2021-02-01,2809.899169921875,2784.837646484375,2809.899169921875,2784.837646484375,1000000
2021-02-02,2867.271728515625,2809.899169921875,2867.271728515625,2809.899169921875,1000000
2021-02-03,2864.229736328125,2867.271728515625,2867.271728515625,2864.229736328125,1000000
2021-02-04,2853.84619140625,2864.229736328125,2864.229736328125,2853.84619140625,1000000
2021-02-05,2826.54736328125,2853.84619140625,2853.84619140625,2826.54736328125,1000000
2021-02-08,2876.804443359375,2826.54736328125,2876.804443359375,2826.54736328125,1000000
2021-02-09,2843.50830078125,2876.804443359375,2876.804443359375,2843.50830078125,1000000
2021-02-10,2876.088134765625,2843.50830078125,2876.088134765625,2843.50830078125,1000000
2021-02-11,2869.55517578125,2876.088134765625,2876.088134765625,2869.55517578125,1000000
2021-02-12,2855.949951171875,2869.55517578125,2869.55517578125,2855.949951171875,1000000
2021-02-15,2810.3466796875,2855.949951171875,2855.949951171875,2810.3466796875,1000000
2021-02-16,2782.55517578125,2810.3466796875,2810.3466796875,2782.55517578125,1000000
2021-02-17,2750.6015625,2782.55517578125,2782.55517578125,2750.6015625,1000000
2021-02-18,2736.504150390625,2750.6015625,2750.6015625,2736.504150390625,1000000
2021-02-19,2749.483154296875,2736.504150390625,2749.483154296875,2736.504150390625,1000000
2021-02-22,2647.983642578125,2749.483154296875,2749.483154296875,2647.983642578125,1000000
2021-02-23,2667.450439453125,2647.983642578125,2667.450439453125,2647.983642578125,1000000
2021-02-24,2638.719482421875,2667.450439453125,2667.450439453125,2638.719482421875,1000000
2021-02-25,2680.966796875,2638.719482421875,2680.966796875,2638.719482421875,1000000
2021-02-26,2590.564697265625,2680.966796875,2680.966796875,2590.564697265625,1000000
2021-03-01,2617.32763671875,2590.564697265625,2617.32763671875,2590.564697265625,1000000
2021-03-02,2690.856201171875,2617.32763671875,2690.856201171875,2617.32763671875,1000000
2021-03-03,2738.0703125,2690.856201171875,2738.0703125,2690.856201171875,1000000
2021-03-04,2729.656982421875,2738.0703125,2738.0703125,2729.656982421875,1000000
2021-03-05,2692.378662109375,2729.656982421875,2729.656982421875,2692.378662109375,1000000
2021-03-08,2691.39404296875,2692.378662109375,2692.378662109375,2691.39404296875,1000000
2021-03-09,2730.77587890625,2691.39404296875,2730.77587890625,2691.39404296875,1000000
2021-03-10,2748.6767578125,2730.77587890625,2748.6767578125,2730.77587890625,1000000
2021-03-12,2737.041748046875,2748.6767578125,2748.6767578125,2737.041748046875,1000000
2021-03-15,2744.380615234375,2737.041748046875,2744.380615234375,2737.041748046875,1000000
2021-03-16,2783.673828125,2744.380615234375,2783.673828125,2744.380615234375,1000000
2021-03-17,2786.269287109375,2783.673828125,2786.269287109375,2783.673828125,1000000
2021-03-18,2717.842041015625,2786.269287109375,2786.269287109375,2717.842041015625,1000000
2021-03-19,2730.104736328125,2717.842041015625,2730.104736328125,2717.842041015625,1000000
2021-03-22,2801.216552734375,2730.104736328125,2801.216552734375,2730.104736328125,1000000
2021-03-23,2812.808349609375,2801.216552734375,2812.808349609375,2801.216552734375,1000000
2021-03-24,2793.564453125,2812.808349609375,2812.808349609375,2793.564453125,1000000
2021-03-25,2743.21728515625,2793.564453125,2793.564453125,2743.21728515625,1000000
2021-03-26,2744.962890625,2743.21728515625,2744.962890625,2743.21728515625,1000000
2021-03-30,2827.084228515625,2744.962890625,2827.084228515625,2744.962890625,1000000
2021-03-31,2844.359375,2827.084228515625,2844.359375,2827.084228515625,1000000
2021-04-01,2832.857421875,2844.359375,2844.359375,2832.857421875,1000000
2021-04-05,2899.002197265625,2832.857421875,2899.002197265625,2832.857421875,1000000
2021-04-06,2922.093994140625,2899.002197265625,2922.093994140625,2899.002197265625,1000000
2021-04-07,2928.09130859375,2922.093994140625,2928.09130859375,2922.093994140625,1000000
2021-04-08,2969.219482421875,2928.09130859375,2969.219482421875,2928.09130859375,1000000
2021-04-09,2973.60498046875,2969.219482421875,2973.60498046875,2969.219482421875,1000000
2021-04-12,2905.84912109375,2973.60498046875,2973.60498046875,2905.84912109375,1000000
2021-04-13,2778.3037109375,2905.84912109375,2905.84912109375,2778.3037109375,1000000
2021-04-15,2881.14599609375,2778.3037109375,2881.14599609375,2778.3037109375,1000000
2021-04-16,2859.84326171875,2881.14599609375,2881.14599609375,2859.84326171875,1000000
2021-04-19,2829.9931640625,2859.84326171875,2859.84326171875,2829.9931640625,1000000
2021-04-20,2814.553466796875,2829.9931640625,2829.9931640625,2814.553466796875,1000000
2021-04-22,2791.505615234375,2814.553466796875,2814.553466796875,2791.505615234375,1000000
2021-04-23,2783.181396484375,2791.505615234375,2791.505615234375,2783.181396484375,1000000
2021-04-26,2775.394775390625,2783.181396484375,2783.181396484375,2775.394775390625,1000000
2021-04-27,2803.321044921875,2775.394775390625,2803.321044921875,2775.394775390625,1000000
2021-04-28,2796.249267578125,2803.321044921875,2803.321044921875,2796.249267578125,1000000
2021-04-29,2788.328125,2796.249267578125,2796.249267578125,2788.328125,1000000
2021-04-30,2717.08154296875,2788.328125,2788.328125,2717.08154296875,1000000
2021-05-03,2718.2900390625,2717.08154296875,2718.2900390625,2717.08154296875,1000000
2021-05-04,2729.701904296875,2718.2900390625,2729.701904296875,2718.2900390625,1000000
2021-05-05,2770.830078125,2729.701904296875,2770.830078125,2729.701904296875,1000000
2021-05-06,2784.927001953125,2770.830078125,2784.927001953125,2770.830078125,1000000
2021-05-07,2804.126220703125,2784.927001953125,2804.126220703125,2784.927001953125,1000000
2021-05-10,2815.404296875,2804.126220703125,2815.404296875,2804.126220703125,1000000
2021-05-11,2794.906982421875,2815.404296875,2815.404296875,2794.906982421875,1000000
2021-05-12,2763.580322265625,2794.906982421875,2794.906982421875,2763.580322265625,1000000
2021-05-14,2731.26806640625,2763.580322265625,2763.580322265625,2731.26806640625,1000000
2021-05-17,2747.60302734375,2731.26806640625,2747.60302734375,2731.26806640625,1000000
2021-05-18,2764.654052734375,2747.60302734375,2764.654052734375,2747.60302734375,1000000
2021-05-19,2758.567626953125,2764.654052734375,2764.654052734375,2758.567626953125,1000000
2021-05-20,2738.876220703125,2758.567626953125,2758.567626953125,2738.876220703125,1000000
2021-05-21,2757.224853515625,2738.876220703125,2757.224853515625,2738.876220703125,1000000
2021-05-24,2758.1201171875,2757.224853515625,2758.1201171875,2757.224853515625,1000000
2021-05-25,2800.843017578125,2758.1201171875,2800.843017578125,2758.1201171875,1000000
2021-05-26,2840.867919921875,2800.843017578125,2840.867919921875,2800.843017578125,1000000
2021-05-27,2860.206298828125,2840.867919921875,2860.206298828125,2840.867919921875,1000000
2021-05-28,2827.466796875,2860.206298828125,2860.206298828125,2827.466796875,1000000
2021-05-31,2841.45263671875,2827.466796875,2841.45263671875,2827.466796875,1000000
2021-06-01,2835.92138671875,2841.45263671875,2841.45263671875,2835.92138671875,1000000
2021-06-02,2814.739501953125,2835.92138671875,2835.92138671875,2814.739501953125,1000000
2021-06-03,2825.352783203125,2814.739501953125,2825.352783203125,2814.739501953125,1000000
2021-06-04,2827.601318359375,2825.352783203125,2827.601318359375,2825.352783203125,1000000
2021-06-07,2863.084228515625,2827.601318359375,2863.084228515625,2827.601318359375,1000000
2021-06-08,2878.330078125,2863.084228515625,2878.330078125,2863.084228515625,1000000
2021-06-09,2878.419677734375,2878.330078125,2878.419677734375,2878.330078125,1000000
2021-06-10,2893.30517578125,2878.419677734375,2893.30517578125,2878.419677734375,1000000
2021-06-11,2944.5732421875,2893.30517578125,2944.5732421875,2893.30517578125,1000000
2021-06-14,2946.866455078125,2944.5732421875,2946.866455078125,2944.5732421875,1000000
2021-06-15,2934.634521484375,2946.866455078125,2946.866455078125,2934.634521484375,1000000
2021-06-16,2945.068115234375,2934.634521484375,2945.068115234375,2934.634521484375,1000000
2021-06-17,2984.103271484375,2945.068115234375,2984.103271484375,2945.068115234375,1000000
2021-06-18,2965.710205078125,2984.103271484375,2984.103271484375,2965.710205078125,1000000
2021-06-21,2943.943115234375,2965.710205078125,2965.710205078125,2943.943115234375,1000000
2021-06-22,2969.217529296875,2943.943115234375,2969.217529296875,2943.943115234375,1000000
2021-06-23,2933.420166015625,2969.217529296875,2969.217529296875,2933.420166015625,1000000
2021-06-24,3034.3369140625,2933.420166015625,3034.3369140625,2933.420166015625,1000000
2021-06-25,3040.812744140625,3034.3369140625,3040.812744140625,3034.3369140625,1000000
2021-06-28,3001.19287109375,3040.812744140625,3040.812744140625,3001.19287109375,1000000
2021-06-29,3004.8798828125,3001.19287109375,3004.8798828125,3001.19287109375,1000000
2021-06-30,3009.2880859375,3004.8798828125,3009.2880859375,3004.8798828125,1000000
2021-07-01,3005.46484375,3009.2880859375,3009.2880859375,3005.46484375,1000000
2021-07-02,2991.029052734375,3005.46484375,3005.46484375,2991.029052734375,1000000
2021-07-05,2987.026123046875,2991.029052734375,2991.029052734375,2987.026123046875,1000000
2021-07-06,2934.22998046875,2987.026123046875,2987.026123046875,2934.22998046875,1000000
2021-07-07,2945.607177734375,2934.22998046875,2945.607177734375,2934.22998046875,1000000
2021-07-08,2930.811767578125,2945.607177734375,2945.607177734375,2930.811767578125,1000000
2021-07-09,2885.5244140625,2930.811767578125,2930.811767578125,2885.5244140625,1000000
2021-07-12,2871.988525390625,2885.5244140625,2885.5244140625,2871.988525390625,1000000
2021-07-13,2866.996337890625,2871.988525390625,2871.988525390625,2866.996337890625,1000000
2021-07-14,2891.2822265625,2866.996337890625,2891.2822265625,2866.996337890625,1000000
2021-07-15,2887.135009765625,2891.2822265625,2891.2822265625,2887.135009765625,1000000
2021-07-16,2879.788330078125,2887.135009765625,2887.135009765625,2879.788330078125,1000000
2021-07-19,2870.5947265625,2879.788330078125,2879.788330078125,2870.5947265625,1000000
2021-07-20,2889.70361328125,2870.5947265625,2889.70361328125,2870.5947265625,1000000
2021-07-22,2899.213623046875,2889.70361328125,2899.213623046875,2889.70361328125,1000000
2021-07-23,2896.059326171875,2899.213623046875,2899.213623046875,2896.059326171875,1000000
2021-07-26,2882.267822265625,2896.059326171875,2896.059326171875,2882.267822265625,1000000
2021-07-27,2869.10693359375,2882.267822265625,2882.267822265625,2869.10693359375,1000000
2021-07-28,2882.492919921875,2869.10693359375,2882.492919921875,2869.10693359375,1000000
2021-07-29,2880.690185546875,2882.492919921875,2882.492919921875,2880.690185546875,1000000
2021-07-30,2855.135498046875,2880.690185546875,2880.690185546875,2855.135498046875,1000000
2021-08-02,2901.96337890625,2855.135498046875,2901.96337890625,2855.135498046875,1000000
2021-08-03,2961.0048828125,2901.96337890625,2961.0048828125,2901.96337890625,1000000
2021-08-04,2951.13427734375,2961.0048828125,2961.0048828125,2951.13427734375,1000000
2021-08-05,2960.1484375,2951.13427734375,2960.1484375,2951.13427734375,1000000
2021-08-06,2983.44970703125,2960.1484375,2983.44970703125,2960.1484375,1000000
2021-08-09,2995.0771484375,2983.44970703125,2995.0771484375,2983.44970703125,1000000
2021-08-10,3005.172607421875,2995.0771484375,3005.172607421875,2995.0771484375,1000000
2021-08-11,3014.457275390625,3005.172607421875,3014.457275390625,3005.172607421875,1000000
2021-08-12,3021.26318359375,3014.457275390625,3021.26318359375,3014.457275390625,1000000
2021-08-13,3121.904052734375,3021.26318359375,3121.904052734375,3021.26318359375,1000000
2021-08-16,3130.5126953125,3121.904052734375,3130.5126953125,3121.904052734375,1000000
2021-08-17,3202.71435546875,3130.5126953125,3202.71435546875,3130.5126953125,1000000
